name,family,source,genus,species
adenostyles alpina,Asteraceae,400,Adenostyles,alpina
agrostis stolonifera,Poaceae,400,Agrostis,stolonifera
anagallis arvensis,Primulaceae,400,Anagallis,arvensis
anemone nemorosa,Ranunculaceae,200,Anemone,nemorosa
calamagrostis varia,Poaceae,400,Calamagrostis,varia
carex muricata,Cyperaceae,400,Carex,muricata
chaenorrhinum minus,Plantaginaceae,400,Chaenorrhinum,minus
epilobium angustifolium,Onagraceae,400,Epilobium,angustifolium
festuca pratensis,Poaceae,400,Festuca,pratensis
helictotrichon pubescens,Poaceae,400,Helictotrichon,pubescens
hieracium pilosella,Asteraceae,200,Hieracium,pilosella
hippophaë rhamnoides,Elaeagnaceae,400,Hippophaë,rhamnoides
laserpitium siler,Apiaceae,400,Laserpitium,siler
listera ovata,Orchidaceae,200,Listera,ovata
lycopodium annotinum,Lycopodiaceae,400,Lycopodium,annotinum
polygala chamaebuxus,Polygalaceae,400,Polygala,chamaebuxus
polygonum bistorta,Polygonaceae,400,Polygonum,bistorta
polygonum persicaria,Polygonaceae,400,Polygonum,persicaria
potentilla anserina,Rosaceae,200,Potentilla,anserina
ranunculus ficaria,Ranunculaceae,200,Ranunculus,ficaria
salix elaeagnos,Salicaceae,400,Salix,elaeagnos
silene pratensis,Caryophyllaceae,400,Silene,pratensis
sinapis arvensis,Brassicaceae,400,Sinapis,arvensis
sorbus aria,Rosaceae,200,Sorbus,aria
sorbus torminalis,Rosaceae,400,Sorbus,torminalis
